3890,6,positive
3890,7,negative
3890,10,positive
3890,25,positive
3890,31,negative
3890,19,positive
3890,3,negative
3890,30,positive
3908,6,negative
3908,7,positive
3908,10,irrelevant
3908,25,negative
3908,31,negative
3908,19,negative
3908,3,negative
3908,30,positive
3915,6,irrelevant
3915,7,irrelevant
3915,10,irrelevant
3915,25,irrelevant
3915,31,irrelevant
3915,19,positive
3915,3,irrelevant
3915,30,positive
3915,5,irrelevant
3927,24,positive
3927,6,positive
3927,7,positive
3927,10,irrelevant
3927,25,irrelevant
3927,31,positive
3927,19,irrelevant
3927,3,positive
3927,5,positive
3949,6,negative
3949,7,negative
3949,10,irrelevant
3949,25,irrelevant
3949,31,negative
3949,19,negative
3949,5,positive
3960,24,negative
3960,6,positive
3960,7,positive
3960,10,negative
3960,25,negative
3960,31,negative
3960,19,negative
3960,3,positive
3960,30,positive
3960,5,positive
3969,24,negative
3969,6,positive
3969,7,positive
3969,10,negative
3969,25,negative
3969,31,negative
3969,19,positive
3969,3,positive
3969,30,positive
4042,24,negative
4042,6,positive
4042,7,positive
4042,10,negative
4042,25,negative
4042,31,negative
4042,19,positive
4042,3,positive
4042,30,negative
4061,6,negative
4061,7,negative
4061,10,negative
4061,25,positive
4061,31,positive
4061,19,negative
4061,3,negative
4061,30,negative
4061,5,positive
4063,6,positive
4063,7,positive
4063,10,negative
4063,25,negative
4063,31,negative
4063,19,positive
4063,3,positive
4063,30,negative
4065,24,negative
4065,6,positive
4065,7,positive
4065,10,negative
4065,25,negative
4065,31,negative
4065,19,positive
4065,3,positive
4071,6,positive
4071,7,negative
4071,10,positive
4071,25,positive
4071,31,negative
4071,19,negative
4071,3,positive
4071,30,positive
4071,5,positive
4096,24,negative
4096,6,positive
4096,7,negative
4096,10,positive
4096,25,negative
4096,31,negative
4096,19,negative
4096,3,negative
4096,30,positive
4099,24,positive
4099,6,positive
4099,7,positive
4099,10,positive
4099,25,negative
4099,31,positive
4099,19,negative
4099,30,positive
4118,24,positive
4118,6,positive
4118,7,positive
4118,10,positive
4118,25,positive
4118,31,positive
4118,19,negative
4118,3,positive
4118,30,positive
4121,24,irrelevant
4121,6,negative
4121,7,negative
4121,10,negative
4121,25,irrelevant
4121,31,negative
4121,19,negative
4121,3,negative
4121,30,negative
4121,5,negative
4136,24,negative
4136,6,negative
4136,7,negative
4136,10,irrelevant
4136,25,negative
4136,31,irrelevant
4136,19,irrelevant
4136,3,negative
4136,30,negative
4138,24,negative
4138,6,negative
4138,7,negative
4138,10,irrelevant
4138,25,negative
4138,31,irrelevant
4138,19,irrelevant
4138,3,negative
4145,24,negative
4145,10,irrelevant
4145,25,negative
4145,31,negative
4145,19,negative
4145,3,irrelevant
4145,30,negative
4146,24,negative
4146,7,negative
4146,10,irrelevant
4146,3,negative
4148,24,negative
4148,6,negative
4148,7,negative
4148,10,irrelevant
4148,25,negative
4148,31,irrelevant
4148,19,irrelevant
